[ 2025-08-06 23:45:25,803 ] 18 root - INFO - Initiate the data ingestion
[ 2025-08-06 23:45:39,433 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-06 23:45:39,433 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-06 23:45:39,433 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-06 23:45:39,481 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-06 23:45:39,482 ] 20 root - INFO - Data Initiation Completed
[ 2025-08-06 23:45:39,521 ] 24 root - INFO - Intitate the data validation
[ 2025-08-06 23:45:39,588 ] 32 root - INFO - Required number of columns:2
[ 2025-08-06 23:45:39,588 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-06 23:45:39,589 ] 32 root - INFO - Required number of columns:2
[ 2025-08-06 23:45:39,589 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-06 23:45:39,808 ] 26 root - INFO - Data validation Completed
[ 2025-08-06 23:45:39,809 ] 29 root - INFO - data Transformation started
[ 2025-08-06 23:45:39,809 ] 61 root - INFO - Entered initated_data_trasformation method of DataTransformation class
[ 2025-08-06 23:45:39,809 ] 63 root - INFO - Starting data_transformation
[ 2025-08-06 23:45:39,848 ] 47 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-06 23:45:39,848 ] 52 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-06 23:45:39,865 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-06 23:45:39,897 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-06 23:45:39,897 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-06 23:45:39,900 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-06 23:45:39,903 ] 33 root - INFO - data Transformation completed
[ 2025-08-06 23:45:39,903 ] 35 root - INFO - Model Training sstared
[ 2025-08-06 23:48:50,860 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-06 23:48:50,862 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-06 23:48:50,862 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-06 23:48:50,881 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-06 23:48:50,882 ] 141 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_06_2025_23_45_09\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9914392184510021, precision_score=0.988949166164356, recall_score=0.9939418416801292), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9724393253805018, precision_score=0.964110929853181, recall_score=0.9809128630705394))
[ 2025-08-06 23:48:50,884 ] 40 root - INFO - Model Training artifact created
